Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles, Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2012-1-1,38,28,18,16,12,6,74,56,38,30.73,30.58,30.36,10,10,10,22,9,28.0,0.00,1,,155
2012-1-2,50,33,16,22,17,12,80,54,28,30.74,30.55,30.27,10,10,10,13,6,14.0,0.00,0,,158
2012-1-3,55,43,31,22,16,11,54,37,20,30.41,30.24,30.13,10,10,10,22,7,30.0,0.00,1,,194
2012-1-4,58,43,27,21,16,9,63,40,17,30.42,30.37,30.27,10,10,10,15,7,18.0,0.00,0,,193
2012-1-5,66,51,35,24,21,18,50,34,17,30.26,30.04,29.86,10,10,10,15,7,17.0,0.00,1,,192
2012-1-6,45,35,25,26,22,20,81,59,37,30.14,30.02,29.83,10,10,10,12,6,15.0,0.00,2,,127
2012-1-7,39,31,22,30,25,20,100,76,52,30.23,30.04,29.91,10,6,0,21,6,24.0,0.16,6,Fog-Snow,332
2012-1-8,33,22,11,22,15,10,92,71,50,30.38,30.29,30.21,10,10,10,8,5,10.0,0.00,1,,181
2012-1-9,47,32,17,26,20,10,74,58,42,30.44,30.31,30.18,10,10,10,9,4,10.0,0.00,0,,184
2012-1-10,56,42,28,29,23,15,75,52,29,30.14,29.95,29.76,10,10,10,9,4,10.0,0.00,0,,156
2012-1-11,41,22,3,25,13,0,96,67,37,30.36,30.12,29.78,10,6,0,21,9,29.0,0.01,7,Fog-Snow,46
2012-1-12,40,20,-1,9,3,-6,86,53,20,30.35,30.23,30.12,10,10,10,14,6,18.0,0.00,2,,235
2012-1-13,44,32,19,17,7,2,51,35,19,30.19,30.11,30.07,10,10,10,26,8,36.0,0.00,2,,256
2012-1-14,53,37,20,21,12,5,54,37,19,30.2,30.08,29.88,10,10,10,24,8,30.0,0.00,2,,190
2012-1-15,54,44,33,19,12,9,35,27,18,29.88,29.75,29.64,10,10,10,25,13,31.0,0.00,2,,212
2012-1-16,41,29,16,23,18,9,92,60,27,30.12,29.78,29.56,10,7,1,23,8,26.0,0.02,5,Snow,5
2012-1-17,27,16,5,13,7,0,92,66,39,30.31,30.2,29.98,10,9,2,17,7,28.0,T,2,Snow,133
2012-1-18,45,30,14,21,14,-3,56,44,32,30.09,29.91,29.76,10,10,10,28,10,36.0,0.00,2,,168
2012-1-19,60,47,33,31,24,18,58,43,28,29.78,29.66,29.51,10,10,10,17,10,24.0,0.00,1,,147
2012-1-20,53,44,34,26,22,19,59,43,26,30.0,29.77,29.53,10,10,10,32,8,41.0,0.00,2,,234
2012-1-21,64,49,34,31,24,16,70,47,23,29.81,29.41,29.19,10,10,10,39,15,53.0,T,3,,199
2012-1-22,45,36,26,28,11,-3,62,40,17,29.91,29.62,29.19,10,10,10,33,14,47.0,T,3,,295
